# cubic graph, 60 vertices, 90 edges; edge colour: 1 matching, 2/3 circuit, 0 zero-edge
0 1 2
0 6 3
0 40 1
1 2 3
1 57 1
2 3 2
2 9 1
3 4 3
3 28 1
4 5 0
4 13 1
5 6 2
5 32 1
6 22 1
7 8 2
7 12 3
7 23 1
8 9 3
8 35 1
9 10 2
10 11 3
10 55 1
11 12 2
11 59 1
12 46 1
13 14 2
13 19 0
14 15 3
14 33 1
15 16 2
15 37 1
16 17 3
16 20 1
17 18 2
17 49 1
18 19 3
18 30 1
19 27 1
20 21 2
20 25 3
21 22 3
21 54 1
22 23 2
23 24 3
24 25 2
24 42 1
25 50 1
26 27 2
26 32 3
26 48 1
27 28 3
28 29 0
29 30 2
29 47 1
30 31 3
31 32 2
31 38 1
33 34 2
33 39 3
34 35 3
34 51 1
35 36 2
36 37 3
36 43 1
37 38 0
38 39 2
39 45 1
40 41 2
40 45 3
41 42 3
41 56 1
42 43 2
43 44 3
44 45 2
44 53 1
46 47 3
46 52 2
47 48 0
48 49 2
49 50 3
50 51 2
51 52 3
52 58 1
53 54 2
53 59 0
54 55 3
55 56 2
56 57 3
57 58 2
58 59 3
# 2-factor circuits
0 1 2 3 4 5 6
7 8 9 10 11 12
13 14 15 16 17 18 19
20 21 22 23 24 25
26 27 28 29 30 31 32
33 34 35 36 37 38 39
40 41 42 43 44 45
46 47 48 49 50 51 52
53 54 55 56 57 58 59
# zero-edge indices per odd circuit: 4 6 2 4 1 6
